time,open,high,low,close,volume
2020-11-19 21:00:00+00:00,1.30611,1.30738,1.30525,1.3073,576
2020-11-19 22:00:00+00:00,1.30704,1.30764,1.30682,1.30742,118
2020-11-19 23:00:00+00:00,1.30738,1.3089,1.30704,1.30876,526
2020-11-20 00:00:00+00:00,1.30874,1.30874,1.30748,1.30794,741
2020-11-20 01:00:00+00:00,1.30791,1.308,1.3068,1.30741,727
2020-11-20 02:00:00+00:00,1.30739,1.30827,1.30734,1.3079,504
2020-11-20 03:00:00+00:00,1.30793,1.308,1.307,1.3077,476
2020-11-20 04:00:00+00:00,1.30768,1.30788,1.30644,1.30667,389
2020-11-20 05:00:00+00:00,1.30664,1.30706,1.30631,1.30664,523
2020-11-20 06:00:00+00:00,1.30667,1.30726,1.30648,1.30685,621
2020-11-20 07:00:00+00:00,1.30687,1.30762,1.30628,1.30748,1097
2020-11-20 08:00:00+00:00,1.30746,1.30773,1.30556,1.30578,1235
2020-11-20 09:00:00+00:00,1.30576,1.30624,1.30517,1.30622,1110
2020-11-20 10:00:00+00:00,1.30619,1.30641,1.30546,1.30626,805
2020-11-20 11:00:00+00:00,1.30628,1.30635,1.30477,1.30496,849
2020-11-20 12:00:00+00:00,1.30493,1.30614,1.30482,1.30554,731
2020-11-20 13:00:00+00:00,1.30556,1.30595,1.30494,1.30554,1053
2020-11-20 14:00:00+00:00,1.30552,1.3058,1.30392,1.3052,1436
2020-11-20 15:00:00+00:00,1.30517,1.30721,1.30494,1.30668,1668
2020-11-20 16:00:00+00:00,1.3067,1.30802,1.30583,1.30746,1258
2020-11-20 17:00:00+00:00,1.3075,1.30909,1.30694,1.30849,1183
2020-11-20 18:00:00+00:00,1.30851,1.30904,1.30816,1.30877,579
2020-11-20 19:00:00+00:00,1.30874,1.30967,1.3082,1.3096,656
2020-11-20 20:00:00+00:00,1.30958,1.30967,1.30832,1.3084,853
2020-11-20 21:00:00+00:00,1.30837,1.30972,1.30816,1.30938,682
2020-11-22 22:00:00+00:00,1.30866,1.30946,1.30866,1.30942,19
2020-11-22 23:00:00+00:00,1.30947,1.30952,1.30818,1.30848,459
2020-11-23 00:00:00+00:00,1.3085,1.30884,1.30742,1.30758,512
2020-11-23 01:00:00+00:00,1.3076,1.30768,1.30673,1.30692,692
2020-11-23 02:00:00+00:00,1.30689,1.30746,1.3068,1.30705,375
2020-11-23 03:00:00+00:00,1.30702,1.30748,1.30684,1.30748,293
2020-11-23 04:00:00+00:00,1.30745,1.30814,1.3074,1.30796,275
2020-11-23 05:00:00+00:00,1.30798,1.3081,1.30731,1.30734,251
2020-11-23 06:00:00+00:00,1.30732,1.30792,1.30712,1.30762,328
2020-11-23 07:00:00+00:00,1.30764,1.30764,1.30662,1.30668,868
2020-11-23 08:00:00+00:00,1.30666,1.3068,1.30466,1.30484,1431
2020-11-23 09:00:00+00:00,1.30481,1.30579,1.30456,1.30518,927
2020-11-23 10:00:00+00:00,1.3052,1.3056,1.30473,1.30494,726
2020-11-23 11:00:00+00:00,1.3049,1.30598,1.30456,1.30544,851
2020-11-23 12:00:00+00:00,1.30546,1.3062,1.30483,1.3051,749
